상품	고용유발계수	부가가치유발계수(반올림)	감응도(반올림)	영향력(반올림)
농림어업	6.2	0.972	1.273	0.83
광업	7.6	0.963	4.36	0.774
식료품	10.1	0.958	1.379	1.156
음료품	9.6	0.957	0.466	1.11
담배	6.9	0.96	0.391	0.862
섬유 및 의복	12.4	0.976	1.152	1.207
가죽제품 	13	0.968	0.536	1.206
목재 및 목제품 	12.6	0.973	0.735	1.152
펄프 및 종이제품	10.7	0.985	1.269	1.173
인쇄 및 복제	14.9	0.982	0.579	1.023
석탄 및 석유제품	7.8	0.952	3.535	1.132
기초화학물질	7.6	0.964	2.517	1.381
합성수지 및 합성고무	8.3	0.969	1.013	1.442
화학섬유	8.4	0.973	0.425	1.387
의약품	9.4	0.978	0.55	0.986
비료 및 농약	8.8	0.925	0.572	1.189
기타 화학제품	9	0.976	1.157	1.237
고무제품 및 플라스틱 제품 제조업	10.2	0.985	1.45	1.279
비금속광물제품 제조업	9.3	0.969	0.833	1.097
1차 철강제조업	8.1	0.982	3.181	1.537
비철금속괴 및 1차제품	9.9	0.976	1.605	1.299
금속 주물	10.4	0.984	0.486	1.429
금속제품	9.3	0.994	1.55	1.218
일반목적용기계	10.5	0.986	1.038	1.207
특수목적용기계	10.5	0.984	0.784	1.18
전기장비	10.1	0.984	1.156	1.186
반도체	7	0.987	0.865	1.029
전자부품 제조업	8.3	0.983	1.299	1.198
컴퓨터 및 주변기기	7.5	0.985	0.478	1.127
통신, 방송 및 영상, 음향기기	8.5	0.984	0.686	1.28
가정용 전기기기	10.9	0.983	0.486	1.281
정밀기기	10.4	0.982	0.714	1.156
자동차	9.9	0.985	1.076	1.26
선박	10.6	0.986	0.471	1.366
기타 운송장비	9.8	0.982	0.591	1.246
기타 제조업 제품 및 임가공	12.8	0.981	1.515	0.975
전기, 가스, 증기, 수도	6.4	0.948	2.188	0.984
하수, 폐기물처리, 원료재생, 환경복원	11	0.943	0.723	0.89
건설업, 건축기술 서비스	12.6	0.971	0.476	1.073
도소매서비스	14.7	0.977	2.926	0.793
육상운송서비스	13.4	0.914	1.426	0.853
수상운송서비스	9.7	0.93	0.609	1.312
항공운송서비스	8.5	0.96	0.533	1.142
창고 및 운송보조서비스	13.4	0.975	1.274	0.867
음식점 및 숙박서비스	14.9	0.955	1.159	0.962
통신서비스	11.6	0.971	0.921	0.872
방송서비스	12.6	0.972	0.65	0.879
컴퓨터 프로그래밍, 정보서비스업	13.4	0.985	0.839	0.78
출판서비스	16.3	0.958	0.492	0.965
영상, 오디오물 제작 및 배급	12.6	0.959	0.528	0.872
금융서비스	9.3	0.965	1.418	0.64
보험서비스	14	0.92	0.737	0.808
금융 및 보험 보조서비스	16.6	0.933	0.535	0.731
주거서비스	2	0.987	0.365	0.506
부동산서비스	9.8	0.979	1.073	0.632
기계장비 및 용품 임대	9.5	0.983	0.706	0.751
연구개발	12.7	0.958	0.442	0.774
사업관련 전문서비스	20.8	0.979	1.019	0.775
과학기술관련 전문서비스	12.5	0.962	0.764	0.685
사업지원서비스	26.7	0.979	1.289	0.66
공공행정 및 국방	11.1	0.976	0.529	0.59
교육서비스	14.7	0.971	0.382	0.591
의료 및 보건	13.6	0.955	0.482	0.773
사회복지서비스	38	0.942	0.365	0.879
문화서비스	15.1	0.96	0.523	0.765
스포츠 및 오락 서비스	10.7	0.968	0.437	0.83
사회단체	25.2	0.952	0.417	0.839
수리 및 개인 서비스	16.3	0.982	0.598	0.925
