pno	pnyear	pndate	authority	appyear	appdate	inventor	inventor-count	assignee	assignee-count	keyword	ipc	app_gp
EP3509961A1	2019	2019-07-17	EP	2017	2017-09-06	GB`NICHOLLS, Darren;GB`WILSON, Simon	2	US`Lavazza Professional North America, LLC	1	NOZZLE;NOZZLE BODY;INLET END;OUTLET END;BEVERAGE PREPARATION PACKAGE;DETACHABLE MANNER;PREPARATION PACKAGE;PRESENT INVENTION	B65D 75/58;B65D 47/10	US`LAVAZZA PROFESSIONAL NORTH AMERICA
EP3509861A1	2019	2019-07-17	EP	2017	2017-09-12	US`HOFFMAN, JR., Richard C.;US`OLESON, Andrew L.;US`FALK, Keith R.;US`TKACZ, Darek	4	US`M&R Printing Equipment, Inc.	1	ALIGNMENT INDICATOR;REGISTRATION;INDICATOR;PROPER REGISTRATION;METAL FRAME;SUCH CONTACT	B41M 1/12	US`M&R PRINTING EQUIPMENT
EP3509768A1	2019	2019-07-17	EP	2017	2017-08-22		0	DE`SMS Group GmbH	1	LIQUID MEDIUM;ROLLED MATERIAL;MEDIUM;ROLL;MATERIAL;DEVICE;CONVEYING DIRECTION;SPRAY NOZZLE;PLATE ELEMENT;IMPROVED COOLING EFFECT	B21B 27/10;B21B 45/02	DE`SMS GROUP
EP3509767A1	2019	2019-07-17	EP	2017	2017-09-05	DE`JARCHAU, Michael;DE`PAPE, Ralf	2	DE`Hammelmann GmbH;DE`Purima GmbH & Co. KG	2	TOOL;SURFACE;DEVICE;NOZZLE SUPPORT;OUTER SURROUNDING AREA;PRESSURIZED CLEANING LIQUID EXIT;PRESSURIZED CLEANING LIQUID;SURROUNDING AREA;FIBER COMPOSITE MATERIAL BODY;CONTROL UNIT	B08B 3/02;B29C 33/72	DE`HAMMELMANN PURIMA & KG
EP3509766A1	2019	2019-07-17	EP	2016	2016-10-14	CN`WANG, Peng;CN`HU, Hao	2	US`General Electric Company	1	GAS TURBINE ENGINE WASH;TURBINE ENGINE WASH;ENGINE WASH;WASH;TURBINE ENGINE;SPRAY NOZZLE;WASH LINE;PRESSURIZED FLOW;GAS TURBINE ENGINE;BORESCOPE HOLE	B08B 3/02	US`GENERAL ELECTRIC
EP3509765A1	2019	2019-07-17	EP	2017	2017-09-07	GB`DORE, David, James	1	GB`Quill International Group Limited	1	D-PRINTED ARTICLE;ARTICLE;FIRST FILTER ARRANGEMENT;FILTER ARRANGEMENT;WASHING LIQUID;LIQUID-DISCHARGING NOZZLE;GLOVE ISOLATION CABINET;SECOND FILTER ARRANGEMENT;CABINET;ISOLATION CABINET	B08B 3/00;B08B 3/14;B08B 15/02	GB`QUILL INTERNATIONAL GROUP
EP3509764A1	2019	2019-07-17	EP	2017	2017-09-06	AT`RINNER, Franz;AT`MELISCHNIG, Alexander	2	DE`TDK Electronics AG	1	HAPTIC FEEDBACK;ELECTRONIC DEVICE;FEEDBACK;DEVICE;PIEZOELECTRIC ACTUATOR;MECHANICAL STRUCTURE;FIRST DIRECTION;SECOND DIRECTION	B06B 1/06;G06F 3/01;G10K 9/125	DE`TDK ELECTRONICS AG
EP3509763A1	2019	2019-07-17	EP	2017	2017-09-11	IL`LEWITUS, Dan;IL`SHPIGEL SHTAUBER, Tal	2	IL`Shenkar Engineering Design Art	1	MICROSPHERES;DISPENSING MICROPORTIONS;MICROPORTIONS;COOLED SOLID SUPEROLEOPHOBIC SURFACE;HAVING AVERAGE CONTACT ANGLE;PAYLOAD SUBSTANCE;DROPLET-FORMING SPACE;CARRIER VEHICLE;SOLID SUPEROLEOPHOBIC SURFACE;AVERAGE CONTACT ANGLE	B82Y 5/08;A61K 9/50;B01J 2/02;B01J 2/04	IL`SHENKAR ENGINEERING DESIGN ART
EP3509762A1	2019	2019-07-17	EP	2017	2017-09-06	CA`Burgess, Alan W.	1	CA`Burgess, Alan W.	1	HIGH VELOCITY SPRAY TORCH;VELOCITY SPRAY TORCH;SPRAY TORCH;INTERNAL SURFACE;TORCH;SURFACE;DIVERGENT NOZZLE;INJECTION ZONE;COMBUSTION STREAM;OXIDIZING GAS INPUT LINE	B05D 1/08;B05D 7/20	CA`BURGESS ALAN W
EP3509761A1	2019	2019-07-17	EP	2017	2017-09-07	US`SAINE, Joel, E.	1	US`Nordson Corporation	1	REMOTE METERING STATION;METERING STATION;STATION;MODULAR PUMP ASSEMBLY;GEAR ASSEMBLY;SIDE SURFACE;FIRST SIDE SURFACE;MODULAR PUMP ASSEMBLY REMOVABLY;DISPENSING MODULE;PUMP ASSEMBLY	B05C 5/02;B05C 11/10	US`NORDSON
